ID,AAA,ALA,Departamento,Provincia,Distrito,Clase,Uso,Q_l_seg,Q_m3_seg,Q_m3_dia,Volumen_m3_anual,Usuario,Fuente,Zona,Este,Norte,Link
12,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lima,Licencia,Industrial,0.58,0.0006,49.9,18200,INMOBILIARIA SAN ENRIQUE S.A.,Acuifero RIMAC,18,275924.29,8667237.53,"https://file2.ana.gob.pe/dir_rada/19/19-RS-1145-1973-02.pdf"
13,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,San Martin De Porres,Licencia,Industrial,0.03,0,2.2,810,COMPANIA TRANI S.A.,Acuifero CHILLON,18,270942.43,8673206.49,"https://file2.ana.gob.pe/dir_rada/19/19-RS-1239-1973-02.pdf"
14,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Ate,Licencia,Industrial,0.95,0.001,82.2,30000,SANDOZ PERï¿½ S.A.,Acuifero LURIN,18,287840.28,8667392.19,"https://file2.ana.gob.pe/dir_rada/19/19-RS-0272-1976-01.pdf"
15,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lima,Licencia,Industrial,44.39,0.0444,3835.6,1400000,COMPANIA NACIONAL DE CERVEZA S.A.,Acuifero RIMAC ,18,275772,8667158,"https://file2.ana.gob.pe/dir_rada/19/19-RS-0537-1975-01.pdf"
16,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Rimac,Licencia,Industrial,17.36,0.0174,1500,547500,LEVER PACOCHA S.A.,Acuifero RIMAC,18,280112.75,8668181.13,"https://file2.ana.gob.pe/dir_rada/19/19-RS-0539-1975-02.pdf"
17,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lima,Licencia,Industrial,16.44,0.0164,1420.3,518400,COMPANIA QUï¿½MICA S.A.,Acuifero RIMAC,18,268347.12,8672061.59,"https://file2.ana.gob.pe/dir_rada/19/19-RS-0540-1975-01.pdf"
18,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Carmen De La Legua Reynoso,Licencia,Industrial,1.62,0.0016,139.7,51000,INDUSTRIAL TEXTIL SAN ANTONIO S.A.,Acuifero RIMAC,18,270447.5,8670509.12,"https://file2.ana.gob.pe/dir_rada/19/19-RS-0333-1976-01.pdf"
19,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Chorrillos,Licencia,Industrial,1.88,0.0019,162,59130,INTER AMERICAN TRADE DEVELAPMENT COMPANY S.A.,Acuifero RIMAC,18,280454.45,8652998.02,"https://file2.ana.gob.pe/dir_rada/19/19-RS-0113-1976-02.pdf"
20,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lima,Licencia,Industrial,26.95,0.027,2328.8,850000,COMPANIA EMBOTELLADORA LIMA LEOPOLDO BARTON SOCIEDAD ANONIMA (COCA COLA),Acuifero RIMAC,18,276048.33,8667290.99,"https://file2.ana.gob.pe/dir_rada/19/19-RS-0061-1974-02.pdf"
21,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Carmen De La Legua Reynoso,Licencia,Industrial,5.92,0.0059,511.3,186624,"CHOY MA CARLOS / CHOY MA, AUGUSTO",Acuifero RIMAC,18,275395.84,8667613.78,"https://file2.ana.gob.pe/dir_rada/19/19-RS-0270-1974-02.pdf"
22,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Ate,Licencia,Industrial,0.95,0.001,82.2,30000,ARMCO PERUANA S.A.,Acuifero RIMAC,18,294278.54,8670761.3,"https://file2.ana.gob.pe/dir_rada/19/19-RS-0060-1975-02.pdf"
23,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Ventanilla,Licencia,Industrial,61.27,0.0613,5294,1932297,AJINO MOTO DEL PERU S.A,Acuifero CHILLON ,18,268251,8684677,"https://file2.ana.gob.pe/dir_rada/19/19-RS-0538-1975-02.pdf"
24,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Cieneguilla,Licencia,Industrial,0.17,0.0002,14.4,5256,"PALOMINO ORTIZ, DALMIRO FELICIANO",Acuifero LURIN,18,307337,8663729,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0110-2013-02.pdf"
25,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Callao,Licencia,Industrial,2.5,0.0025,216.4,78975,EMPRESA PESQUERA DIAMANTE S.A.,Acuifero CHILLON,18,267823,8672574,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0029-2013-02.pdf"
26,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Ate,Licencia,Industrial,0.04,0,3.1,1123.2,EMPRESA J.I.R. DISTRIBUIDORES S.R.L.,Acuifero LURIN,18,293075,8670437,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0099-2013-02.pdf"
27,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurin,Licencia,Industrial,0.02,0,1.5,561.6,EMPRESA LX Y LX S.R.L.,Acuifero LURIN,18,297377,8641156,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0058-2013-02.pdf"
28,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Puente Piedra,Licencia,Industrial,48,0.048,4147.2,1513728,KIMBERLY - CLARK PERU S. R.L.,Acuifero CHILLON,18,274235,8687604,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0185-2013-03.pdf"
29,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Pachacamac,Licencia,Industrial,0.06,0.0001,5.1,1872,CORPORACION PERUANA DE PRODUCTOS QUIMICOS (CPPQ),Acuifero LURIN,18,300956,8673574,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0206-2013-02.pdf"
30,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurigancho,Licencia,Industrial,5,0.005,432,157680,EMPRESA CARTONES VILLA MARINA S.A.,Acuifero RIMAC,18,292706,8672928,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0121-2013-02.pdf"
31,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurigancho,Licencia,Industrial,0.28,0.0003,24.6,8985.6,"TICLAVILCA ATAHUAMAN, MELITON FIDEL",Acuifero RIMAC,18,293570,8671691,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0118-2013-02.pdf"
32,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurigancho,Licencia,Industrial,1.88,0.0019,162,59130,EMPRESA CARTONES VILLA MARINA S.A.,Acuifero LURIN,18,292878,8673178,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0119-2013-02.pdf"
33,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Ate,Licencia,Industrial,0.53,0.0005,46,16800,MANUFACTURAS COLOR S. A.,Acuifero LURIN,18,287735,8666560,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0080-1997-02.pdf"
34,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Ate,Licencia,Industrial,1.19,0.0012,102.6,37440,AMBROSOLI S. A.,Acuifero RIMAC,18,286875.12,8665933.9,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0277-1997-02.pdf"
35,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Ate,Licencia,Industrial,2.31,0.0023,200,73000,ALGODONERA PERUANA S.A.,Acuifero LURIN,18,286270,8666750,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0044-1996-02.pdf"
36,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Rimac,Licencia,Industrial,17.36,0.0174,1500,547500,INDUSTRIAS PACOCHA S. A.,Acuifero RIMAC,18,280270,8668460,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0103-1993-02.pdf"
37,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Ate,Licencia,Industrial,18,0.018,1555.2,567648,CERVECERIA BACKUS Y JOHNSTON S. A.,Acuifero RIMAC,18,289000,8667500,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0007-1994-02.pdf"
38,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Carabayllo,Licencia,Industrial,16.67,0.0167,1440,525600,CERAMICOS PERUANOS S. A.,Acuifero CHILLON,18,276500,8690500,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0095-1994-02.pdf"
39,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Santa Anita,Licencia,Industrial,6.41,0.0064,553.9,202176,CONFECCIONES TEXTIMAX S. A.,Acuifero LURIN,18,287239.11,8667513.88,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0039-2001-02.pdf"
40,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Pachacamac,Licencia,Industrial,0.31,0.0003,26.5,9676.8,"BALAREZO KOO, OLGA",Acuifero LURIN,18,296500,8645890,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0186-1999-02.pdf"
41,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Santa Anita,Licencia,Industrial,8,0.008,691.2,252288,INDUSTRIAL CROMOTEX S. A.,Acuifero LURIN,18,286770.12,8666933.89,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0201-1999-02.pdf"
42,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurigancho,Licencia,Industrial,4.27,0.0043,369.3,134784,"DIAZ DIAZ, SEGUNDO LUIS",Acuifero LURIN,18,283379,8670731,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0113-2000-02.pdf"
43,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Huarochiri,Santa Eulalia,Licencia,Industrial,0.4,0.0004,34.6,12614,SOCOSANI S.A.,Galerï¿½a Filtrante manantial,18,318878.42,8683831.26,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0136-2000-02.pdf"
44,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Ate,Licencia,Industrial,1.99,0.002,172.3,62899.2,HOECHST PERUANA S.A.,Acuifero LURIN,18,286150,8666720,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0141-1998-02.pdf"
45,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Callao,Licencia,Industrial,6.41,0.0064,553.9,202176,PESQUERA AUSTRAL S. A.,Acuifero CHILLON,18,268670,8676580,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0109-1998-02.pdf"
46,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,San Luis,Licencia,Industrial,2.4,0.0024,207.1,75600,LAVINDUSTRIAS S. A.,Acuifero LURIN,18,282955.18,8665173.91,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0096-1996-02.pdf"
47,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurigancho,Licencia,Industrial,0.01,0,0.8,280.8,"ANDIA LLAUCA, LUIS HUMBERTO",Acuifero RIMAC,18,293468,8671606,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0096-2013-02.pdf"
48,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Callao,Licencia,Industrial,0.89,0.0009,76.9,28080,"ESPINOZA GUTIERREZ, LUCIA MAYELA",Acuifero CHILLON,18,269543,8674012,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0457-2012-02.pdf"
49,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurigancho,Licencia,Industrial,0.57,0.0006,49.2,17971.2,"TICLAVILCA ATAHUAMAN, MELITON FIDEL",Acuifero LURIN,18,293349,8671338,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0441-2012-02.pdf"
50,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurigancho,Licencia,Industrial,2.5,0.0025,216,78840,EMPRESA SOLUCIONES CONSTRUCTIVAS VOLCAN SAC,Acuifero RIMAC,18,292448,8672804,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0562-2012-03.pdf"
51,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurin,Licencia,Industrial,0.07,0.0001,6.2,2246.4,EMPRESA TEJIDOS SAN JACINTO S.A.,Acuifero LURIN,18,300910,8640982,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0570-2012-03.pdf"
52,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurin,Licencia,Industrial,0.17,0.0002,14.4,5256,EMPRESA FIBRAFIL S.A,Acuifero LURIN,18,295819,8643207,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0472-2012-03.pdf"
53,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Ate,Licencia,Industrial,0.67,0.0007,57.6,21024,EMPRESA INTERNACIONAL BAKERY SAC,Acuifero LURIN,18,291169,8670753,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0474-2012-03.pdf"
54,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,San Juan De Lurigancho,Licencia,Industrial,0.43,0.0004,36.9,13478.4,COMPANIA PROCESADORA DE PRODUCTOS ALIMENTICIOS TI CAY S.R.L,Acuifero LURIN,18,286237,8670335,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0506-2012-02.pdf"
55,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,San Juan De Lurigancho,Licencia,Industrial,0.85,0.0009,73.9,26956.8,COMPANIA PROCESADORA DE PRODUCTOS ALIMENTICIOS TI CAY S.R.L,Acuifero LURIN,18,286216,8670328,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0507-2012-02.pdf"
56,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Pachacamac,Licencia,Industrial,0.3,0.0003,25.5,9322.56,TIGO S.A.C.,Acuifero LURIN,18,295078,8644220,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0512-2012-02.pdf"
57,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Ate,Licencia,Industrial,0.01,0,1,374.4,"SALCEDO GUEVARA, NESTOR",Acuifero RIMAC,18,299863,8672806,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0447-2012-03.pdf"
58,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,San Juan De Lurigancho,Licencia,Industrial,0.05,0,4.3,1557.09,CANDY MARKET CAMPOY S.R.L.,Acuifero RIMAC,18,286262.03,8670237.98,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0742-2012-02.pdf"
59,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Comas,Licencia,Industrial,0.08,0.0001,7.2,2628,HOSTAL IMPERIO S.R.L.,Acuifero CHILLON,18,274972,8680696,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0536-2012-02.pdf"
60,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Puente Piedra,Licencia,Industrial,0.01,0,1,374,COMPANIA EMBOTELLADORA SUDAMERICANA S.A (COEMSUD S.A),Acuifero CHILLON,18,273946,8681444,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0543-2012-02.pdf"
61,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Ate,Licencia,Industrial,0.07,0.0001,6.2,2246.4,MINERA LA GLORIA S.A.,Acuifero RIMAC,18,298424,8670893,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0663-2012-02.pdf"
62,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Callao,Licencia,Industrial,0.3,0.0003,25.8,9434.88,PESQUERA CAPRICORNIO S.A.,Acuifero CHILLON,18,267836,8672780,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0664-2012-02.pdf"
63,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurigancho,Licencia,Industrial,0.16,0.0002,14.2,5184,LAVAJEANS S.A.,Acuifero LURIN,18,289885,8672110,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0063-2003-02.pdf"
64,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Callao,Licencia,Industrial,38.44,0.0384,3321.2,1212240,EMPRESA EMBOTELLADORA RIVERA S.A.,Acuifero RIMAC / Acuifero RIMAC,18,272510,8667605,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0179-2003-02.pdf"
65,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,San Juan De Lurigancho,Licencia,Industrial,1.51,0.0015,130.2,47520,HILADOS ACRILICOS SAN JUAN S.A.,Acuifero RIMAC,18,282457,8671130,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0349-2002-02.pdf"
66,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurigancho,Licencia,Industrial,0.63,0.0006,54,19710,SCANIA DEL PERU S. A.,Acuifero RIMAC,18,290700,8670870,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0341-2002-02.pdf"
67,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Callao,Licencia,Industrial,30,0.03,2592,946080,QUIMPAC S. A.,Acuifero RIMAC,18,268745,8675475,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0342-2002-02.pdf"
68,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Callao,Licencia,Industrial,7.69,0.0077,664.7,242612,COGORNO S. A.,Acuifero RIMAC,18,266430.4,8666073.86,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0314-2002-02.pdf"
69,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Ate,Licencia,Industrial,7.53,0.0075,650.7,237500,P.F.K. S.A.C.,Acuifero LURIN / Acuifero LURIN,18,292600,8670305,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0262-2002-02.pdf"
70,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Callao,Licencia,Industrial,1.66,0.0017,143.6,52416,INMOBILIARIA LUZTEJU S. R. LTDA.,Acuifero RIMAC,18,268830,8667590,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0257-2001-02.pdf"
71,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Chorrillos,Licencia,Industrial,0.15,0.0001,12.6,4596,COTTON DESIGNS S. A.,Acuifero RIMAC,18,280515,8653690,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0119-2001-02.pdf"
72,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Chorrillos,Licencia,Industrial,0.15,0.0001,12.6,4596,COTTON DESIGNS S. A.,Acuifero RIMAC,18,280500,8653680,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0120-2001-02.pdf"
73,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lima,Licencia,Industrial,3.68,0.0037,318.1,116121,SOCIEDAD INDUSTRIAL TEXTIL S. A. ( SITEX S. A. ),Acuifero RIMAC,18,275530,8667815,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0248-2001-02.pdf"
74,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurin,Licencia,Industrial,4.5,0.0045,389,141985,CORPORACION GEA S. A. C.,Acuifero LURIN,18,299984.99,8640494.28,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0251-2001-02.pdf"
75,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Ate,Licencia,Industrial,0.21,0.0002,18.5,6739,FLEXOPLAST S. A.,Acuifero LURIN,18,286200,8666545,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0221-2001-02.pdf"
76,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Callao,Licencia,Industrial,7.27,0.0073,628.3,229320,FRIGORIFICO LA COLONIAL S. A. C.,Acuifero RIMAC,18,273440,8667540,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0226-2001-02.pdf"
77,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lima,Licencia,Industrial,0.33,0.0003,28.5,10389,FERREYROS S. A. A.,Acuifero RIMAC,18,274230,8668430,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0130-2001-02.pdf"
78,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lima,Licencia,Industrial,2.56,0.0026,221.6,80870,DUOTEX S. A.,Acuifero RIMAC,18,274640,8668280,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0134-2001-02.pdf"
79,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Callao,Licencia,Industrial,7.48,0.0075,646.2,235872,TEXFINA S. A.,Acuifero RIMAC,18,270510,8671600,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0145-2001-02.pdf"
80,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Los Olivos,Licencia,Industrial,3.12,0.0031,269.3,98280,CONDUCTORES ELECTRICOS PERUANOS S.A. CEPER SA,Acuifero CHILLON,18,275364,8676442,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0151-2001-02.pdf"
81,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurin,Licencia,Industrial,0.13,0.0001,11.4,4147.2,ESTACION DE SERVICIOS HERCO S.R.L.,Acuifero LURIN,18,297400.03,8640464.28,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0157-2001-02.pdf"
82,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Ventanilla,Licencia,Industrial,0.83,0.0008,71.9,26232,FELMO S.R.LTDA. (MERCADO MAYORISTA PESQUERO VENTANILLA CALLAO),Acuifero CHILLON,18,268490.36,8673743.76,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0158-2001-02.pdf"
83,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Ventanilla,Licencia,Industrial,0.02,0,2.1,749,ALMACENERA CONTINENTAL S. A.,Acuifero CHILLON,18,267920.35,8678453.69,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0167-2001-02.pdf"
84,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Callao,Licencia,Industrial,0.75,0.0007,64.6,23587,CORPORACION CERAMICA S. A.,Acuifero RIMAC,18,271030,8667750,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0168-2001-02.pdf"
85,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lima,Licencia,Industrial,2.8,0.0028,241.8,88260,FABRITEX PERUANA S. .A.,Acuifero RIMAC,18,274527,8667716,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0171-2001-02.pdf"
86,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lima,Licencia,Industrial,3.42,0.0034,295.4,107827.2,MARMOLES Y GRANITOS S.A. ( MYGSA),Acuifero RIMAC,18,274145,8668435,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0115-2001-02.pdf"
87,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Ate,Licencia,Industrial,0.52,0.0005,44.9,16380,ARTESANIA LANERA ANDINA S. A.,Acuifero RIMAC,18,294875,8670680,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0116-2001-02.pdf"
88,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Ate,Licencia,Industrial,0.33,0.0003,28.8,10512,FABRICA DE FIDEOS LA PASTA E.I.R.L.,Acuifero RIMAC,18,294560,8670575,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0086-2001-02.pdf"
89,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lima,Licencia,Industrial,2.49,0.0025,215.4,78624,INDUSTRIAL ALPAMAYO S. A.,Acuifero RIMAC,18,275480,8666560,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0087-2001-02.pdf"
90,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Callao,Licencia,Industrial,37.7,0.0377,3257.4,1188950,NITRATOS S. A.,Acuifero CHILLON / Acuifero CHILLON,18,268135,8671940,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0069-2001-02.pdf"
91,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lima,Licencia,Industrial,0.41,0.0004,35.5,12960,CROWN CORK DEL PERU S. A.,Acuifero RIMAC,18,273810,8668430,"https://file2.ana.gob.pe/dir_rada/19/19-RA-0084-2001-02.pdf"
